name,g-power,attribute,type,special color,special attack,special rules
Spindle,480 G,aquos,mechanical snake,None,None,combo
Cosmic Ingram,540 G,aquos,bird warrior,None,None,None
Thunder Wilda,500 G,subterra,rock,bakucore,None,None
Foxbat,610 G,subterra,mechanical manion,None,None,combo
Fencer,590 G,subterra,mechanical scorpion,None,None,combo
Apollonir,500 G,ventus,legendary dragon,None,None,None
Neo Dragonoid,550 G,pyrus,dragon,None,None,None
Dual Elfin,540 G,pyrus,sea monster,translucent,attribute_dice,None
Storm Skyress,500 G,aquos,bird,None,jumping,None
Limulus,380 G,aquos,bug,None,None,None
Leefram,500 G,aquos,mechanical serpent,None,None,combo
Hades,550 G,aquos,mechanical hydra,translucent,None,None
Percival,410 G,pyrus,dragon warrior,None,None,None
Limulus,450 G,haos,bug,None,None,None
Shadow Vulcan,560 G,darkus,rock reaper,translucent,None,None
Hyper Dragonoid,560 G,clear,dragon,clear,None,None
Percival,470 G,subterra,dragon warrior,None,None,None
Scraper,490 G,darkus,mechanical crab,None,None,evo_combo
Wilda,560 G,darkus,rock,None,None,None
Alpha Percival,600 G,darkus,dragon warrior,None,None,None
B1 Juggernoid,400 G,aquos,turtle,None,heavy_metal,None
B1 Preyas,250 G,darkus,sea monster,None,attribute_dice,None
B1 Stinglash,510 G,ventus,scorpion,None,None,None
B1 Centipoid,450 G,ventus,bug,None,None,None
Pyro Dragonoid,640 G,haos,wyvern,translucent,None,None
Percival,630 G,aquos,dragon warrior,None,None,None
Exedra,650 G,aquos,legendary hydra-serpent,None,None,None
Centipoid,640 G,ventus,bug,None,None,None
Freezer,740 G,pyrus,squid,solar,None,None
Abis Omega,730 G,pyrus,sea serpent,bakucore,None,None
Wilda,700 G,subterra,rock,None,None,None
Pyro Dragonoid,830 G,pyrus,legendary wyvern,blue,None,None
Ravenoid,830 G,darkus,legendary raven,blue,None,None
Fangoid,690 G,subterra,dino,None,None,battle_compatible
Rubanoid,790 G,darkus,rock dragon,exoskin,None,battle_compatible
Farakspin,700 G,subterra,bug,None,spin,None
Lumino Dragonoid,780 G,subterra,dragon,camo,None,battle_compatible
Hawktor,850 G,ventus,bird,None,None,battle_compatible
Sky and Gaia Dragonoid,2in1 G,pyrus,dragon,None,sky_gaia,sky_gaia
Battalix Dragonoid,770 G,pyrus,dragon warrior,None,None,battle_compatible
Megarus,1180 G,subterra,narwhal,None,None,super_evolution
Hyper Mantonoid,700 G,pyrus2,bug,None,None,super_evolution
Hyper Fangzor,400 G,ventus2,snake,None,None,super_evolution
Hyper Hydorous,400 G,darkus2,lion,None,None,super_evolution
Hyper Gargonoid,900 G,aquos2,gargoyle,None,None,super_evolution
Bolcanon,940 G,haos,mechtanium angel,None,spin,evolution
Cyborg Helios,900 G,darkus,mechanical dragon,metalix,None,synchro
Helix Dragonoid,900 G,pyrus,mechtanium angel,metalix,None,evolution
Titanium Dragonoid,800 G,pyrus,mechtanium dragon,metalix,heavy_metal,evolution
Fusion Dragonoid,890 G,darkus,mechtanium dragon,None,sky_raiders,sky_raiders
Reptak,850 G,aquos,mechtanium warrior,None,sky_raiders,sky_raiders
Reptak,870 G,darkus,mechtanium warrior,None,sky_raiders,sky_raiders
Roxtor,940 G,ventus,mechtanium angel,None,None,synchro
Balista,850 G,pyrus,mechtanium sea monster,None,None,synchro
Neo Dragonoid (Hex Dragonoid form),560 G,pyrus,dragon,None,None,vexos_evo
Cosmic Ingram (Macubass form),540 G,aquos,bird,None,None,vexos_evo
Foxbat (Aluze form),600 G,ventus,manion,None,None,vexos_evo
Mercury Dragonoid,750 G,darkus,mechtanium devil,dual_attribute,None,bakumutant
